slide_id,requirement_id,question_id,requirement_text,covered,coverage_method,evidence_ref,test_id,report_section
1,SLIDE_01_01,GLOBAL,"Contexte et 5 questions à traiter Nous voulons expliquer la dynamique des capture prices des renouvelables intermittents en restant sur une approche simple, auditable et utile pour la décision",yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_02,GLOBAL,"Nous traitons 5 questions, dans l’ordre logique des phases de marché",yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_03,GLOBAL,Bascule phase 1 → phase 2 Quels paramètres font passer un marché d’un régime “confortable” à un régime où les prix et la valeur des actifs deviennent structurellement sous pression,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_04,GLOBAL,Quels ratios simples expliquent la bascule,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_05,GLOBAL,Pente en phase 2 À quelle vitesse la valeur captée se dégrade en phase 2,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_06,GLOBAL,Quels facteurs expliquent cette vitesse et pourquoi elle diffère selon les pays,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_07,GLOBAL,Sortie de la phase 2 et entrée en phase 3 À quelles conditions la dynamique cesse de s’aggraver et commence à se stabiliser,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_08,GLOBAL,Que faudrait-il pour inverser la tendance,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_09,GLOBAL,Par exemple une hausse durable de la demande,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
1,SLIDE_01_10,GLOBAL,Rôle du stockage batteries couplé au solaire Quel niveau de batteries associé au solaire change réellement la trajectoire,yes,global_fallback,outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-01; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-02; outputs\combined\FULL_20260210_150853\Q1\test_ledger.csv#test_id=Q1-H-03,Q1-H-01; Q1-H-02; Q1-H-03; Q1-H-04; Q1-S-01,GLOBAL
