status,code,message,question_id,mentioned_countries,is_global
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=24.9 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=7.7 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=42.1 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=37.5 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=49.6 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=22.4 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=28.1 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
