status,code,message,question_id,mentioned_countries,is_global
WARN,Q5_ALPHA_NEGATIVE,Alpha negatif hors cas already_above_target.,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=36.1 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_ALPHA_NEGATIVE,Alpha negatif mais TTL deja au-dessus de la cible (lecture normale).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=71.7 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_ALPHA_NEGATIVE,Alpha negatif mais TTL deja au-dessus de la cible (lecture normale).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=62.1 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_ALPHA_NEGATIVE,Alpha negatif mais TTL deja au-dessus de la cible (lecture normale).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=45.3 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=21.1 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
WARN,Q5_ALPHA_NEGATIVE,Alpha negatif hors cas already_above_target.,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=42.5 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
WARN,Q5_ALPHA_NEGATIVE,Alpha negatif hors cas already_above_target.,Q5,,True
INFO,Q5_DISTRIBUTIONAL_FIT,Erreur distributionnelle p90/p95=50.9 EUR/MWh (acceptable).,Q5,,True
INFO,Q5_LOW_CORR_CD,Corr horaire faible mais non bloquante (fit distributionnel prioritaire).,Q5,,True
