country,scenario_id,metric,hist_value,scen_value,delta,hist_status,scen_status,interpretability_status,interpretability_reason
DE,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
