country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,BASE,ttl_obs,443.34007894736845,212.1578947368421,-231.18218421052637,,INFORMATIVE,delta_interpretable
DE,BASE,tca_q95,443.34007894736845,212.1578947368421,-231.18218421052637,,INFORMATIVE,delta_interpretable
DE,BASE,co2_required_base_non_negative,0.0,41.87683284457478,41.87683284457478,,INFORMATIVE,delta_interpretable
ES,BASE,ttl_obs,287.6926909090909,121.54545454545452,-166.14723636363638,,INFORMATIVE,delta_interpretable
ES,BASE,tca_q95,287.6926909090909,121.54545454545452,-166.14723636363638,,INFORMATIVE,delta_interpretable
ES,BASE,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,ttl_obs,443.34007894736845,257.0263157894737,-186.31376315789475,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,tca_q95,443.34007894736845,257.0263157894737,-186.31376315789475,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,co2_required_base_non_negative,0.0,41.87683284457478,41.87683284457478,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,ttl_obs,287.6926909090909,139.9090909090909,-147.7836,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,tca_q95,287.6926909090909,139.9090909090909,-147.7836,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,ttl_obs,443.34007894736845,271.3684210526316,-171.9716578947369,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,tca_q95,443.34007894736845,271.3684210526316,-171.9716578947369,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_GAS,ttl_obs,287.6926909090909,162.45454545454544,-125.23814545454547,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,tca_q95,287.6926909090909,162.45454545454544,-125.23814545454547,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,ttl_obs,443.34007894736845,316.2368421052631,-127.10323684210532,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,tca_q95,443.34007894736845,316.2368421052631,-127.10323684210532,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_BOTH,ttl_obs,287.6926909090909,180.8181818181818,-106.8745090909091,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,tca_q95,287.6926909090909,180.8181818181818,-106.8745090909091,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,co2_required_base_non_negative,0.0,93.31683168316836,93.31683168316836,,INFORMATIVE,delta_interpretable
