country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,BASE,ttl_obs,283.7215,204.8443398652976,-78.87716013470242,,INFORMATIVE,delta_interpretable
DE,BASE,tca_q95,280.9753684210526,158.8684210526316,-122.10694736842105,,INFORMATIVE,delta_interpretable
DE,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,BASE,ttl_obs,214.73399999999992,161.69364241883665,-53.04035758116328,,INFORMATIVE,delta_interpretable
ES,BASE,tca_q95,287.6926909090909,121.54545454545452,-166.14723636363638,,INFORMATIVE,delta_interpretable
ES,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_CO2,ttl_obs,283.7215,218.9778924968765,-64.74360750312346,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,tca_q95,280.9753684210526,203.7368421052632,-77.23852631578944,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_CO2,ttl_obs,214.73399999999992,167.4491587083915,-47.284841291608416,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,tca_q95,287.6926909090909,139.9090909090909,-147.7836,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_GAS,ttl_obs,283.7215,224.1864451284555,-59.5350548715445,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,tca_q95,280.9753684210526,191.43421052631575,-89.54115789473684,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_GAS,ttl_obs,214.73399999999992,174.98725514796757,-39.74674485203235,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,tca_q95,287.6926909090909,162.45454545454544,-125.23814545454547,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,HIGH_BOTH,ttl_obs,283.7215,204.8443398652976,-78.87716013470242,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,tca_q95,280.9753684210526,236.30263157894737,-44.67273684210525,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,HIGH_BOTH,ttl_obs,214.73399999999992,161.69364241883665,-53.04035758116328,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,tca_q95,287.6926909090909,180.8181818181818,-106.8745090909091,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
