country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative,h_negative_obs,h_below_5,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,scenario_id,mode,horizon_year,calib_mustrun_scale,calib_vre_scale_pv,calib_vre_scale_wind_on,calib_vre_scale_wind_off,calib_export_cap_eff_gw,calib_export_coincidence_used,calib_flex_realization_factor,calib_price_b_floor,calib_price_b_intercept,calib_price_b_slope_surplus_norm
DE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:BASE,3c673d51e6f45cac5ae37faaed11ee61d33aef687f7d60b6535c9c52727efc1f,525.9034,524.423312869,31.697453747499996,98.74950692264126,21.756967075256217,152.20392774539746,176.5478818501475,22.6446,3.4586516,0.8621113215880268,0.17954026644400387,0.6825710551440229,0.2902310481063944,126.8851482532473,134.8957779383934,122.4272072131127,122.4715392464344,121.69258827712454,0.9652157162002611,0.9590766922086181,122.4715392464344,121.69258827712454,0.9652157162002611,0.9590766922086181,0.5978761206044051,0.5940734723602696,0,0,0,0,121,121,32.443118408552564,95.37989405474895,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05069604702394818,0.04318000257485993,204.84433986529757,204.84433986529757,,none,0,0,7884,876,1.0,0.6729421509073772,1.0,OK,BASE,SCEN,2030,9425.893,21.1595,38.4164,5.8601,1.6500000000000001,0.45,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
DE,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:BASE,61e8ec3925a709261922e373bc87c0c11ab25ca49e1bf3b6db221fa86737697c,617.3648,615.8812870144999,36.75064727891181,109.3064128317157,25.451076930673285,171.50813704130078,195.91705033430082,22.70664,3.4966016,0.8754120008883853,0.18758268979755854,0.687829311090827,0.2784759671343333,138.01219566964647,145.97391811676596,133.6002857785675,133.15273800112763,132.62324489460528,0.9647896503280717,0.9609530828134893,133.15273800112763,132.62324489460528,0.9647896503280717,0.9609530828134893,0.6001143033753848,0.5977278981723613,0,0,0,0,122,122,35.457981764211375,103.1412567759477,0.0,0.0,0.0,0.0,0.0,0.0,,,0.043264048243779316,0.036868533723554114,221.8789608116333,221.8789608116333,,none,0,0,7905,879,1.0,0.6808902763526699,1.0,OK,BASE,SCEN,2040,9425.893,24.5451,42.3232,6.8368,1.6500000000000001,0.45,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
ES,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:BASE,f4745b5be052577b9c5a1b8dffadc62e0e29186528f69bdfb370d4d96195da76,256.5926,255.23969,31.101249710331462,46.29946036015223,0.0,77.4007100704837,120.57657087048369,22.644600000000004,6.6676834000000005,0.6419216395996451,0.2579377526313848,0.38398388696826025,0.30324715592031826,98.66115688731401,97.31064458352448,99.4127213037086,92.13420270147233,96.19877619118401,0.9338447430400959,0.9750420451795188,92.13420270147233,96.19877619118401,0.9338447430400959,0.9750420451795188,0.5703919152839889,0.5955552074125496,0,0,0,0,197,197,41.31304690736875,79.58802578261405,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0944955713769326,0.08871896059738986,161.5278902675193,161.5278902675193,,none,0,0,7884,876,1.0,0.7162492897942901,1.0,OK,BASE,SCEN,2030,6237.200000000001,13.6049,14.0905,2.1494,1.6500000000000001,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475
ES,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:BASE,dce1e53ca70c1a732fd92714fb132f899b3a6ee779f8d2b7648d26108105465b,301.2174,299.86286160000003,36.137043115351815,51.0458476562065,0.0,87.18289077155832,130.46665917155832,22.70664,6.671025300000001,0.6682388537052703,0.27698297285157797,0.39125588085369223,0.290742542462145,105.51371698585235,104.257888452442,106.20962196933453,98.40603141928085,103.01805804292654,0.9326373312436285,0.976347540260946,98.40603141928085,103.01805804292654,0.9326373312436285,0.976347540260946,0.5701749971834855,0.5968975692577833,0,0,0,0,198,198,44.54542933422071,85.78810122554783,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08064739954379686,0.07572341529338623,172.5891733334165,172.5891733334165,,none,0,0,7905,879,1.0,0.7218755416093814,1.0,OK,BASE,SCEN,2040,6237.200000000001,15.7817,15.5234,2.5076,1.6500000000000001,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475
DE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:DEMAND_UP,27e465e68b67d2c941180cca1c2006df1d46a847b0eea49f89f4e65ebffd0689,578.4937000000001,577.0136128690001,31.697453747499996,98.74950692264126,21.756967075256217,152.20392774539746,176.5478818501475,22.6446,3.4586516,0.8621113215880268,0.17954026644400387,0.6825710551440229,0.2637787468975233,128.6041244627808,137.37106632026098,123.72529327983342,124.33686924114802,123.64805811999652,0.9668186752216664,0.9614626174433574,124.33686924114802,123.64805811999652,0.9668186752216664,0.9614626174433574,0.5971518379471358,0.5938436894510023,0,0,0,0,119,119,32.89345644125173,97.58259643274272,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04606303708740628,0.03924448140383999,208.21650598713427,208.21650598713427,,none,0,0,7884,876,1.0,0.6782905135897174,1.0,OK,DEMAND_UP,SCEN,2030,9425.893,21.1595,38.4164,5.8601,1.6500000000000001,0.45,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
DE,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:DEMAND_UP,54e995b6e77f5907e9facb41bd5542b4a755f7068ce1391e5220f78244283858,679.1013,677.6177870144999,36.75064727891181,109.3064128317157,25.451076930673285,171.50813704130078,195.91705033430082,22.70664,3.4966016,0.8754120008883853,0.18758268979755854,0.687829311090827,0.25310453817474954,140.025314250469,148.6850412325381,135.2266120374753,135.34675865661825,134.9028395556721,0.9665877872233729,0.9634175097394596,135.34675865661825,134.9028395556721,0.9665877872233729,0.9634175097394596,0.5991217231431424,0.5971566847533442,0,0,0,0,121,121,36.289160701628525,105.72032655546892,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03931190101673813,0.033509509985035435,225.90861494147683,225.90861494147683,,none,0,0,7905,879,1.0,0.68579579593025,1.0,OK,DEMAND_UP,SCEN,2040,9425.893,24.5451,42.3232,6.8368,1.6500000000000001,0.45,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
ES,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:DEMAND_UP,08c732c86e912850ebbc702d88571c992a2db19749593b78709c89775e2b5540,282.2518,280.89889,31.101249710331462,46.29946036015223,0.0,77.4007100704837,120.57657087048369,22.644600000000004,6.6676834000000005,0.6419216395996451,0.2579377526313848,0.38398388696826025,0.27554651451447065,100.2119227992864,99.0544876129467,100.85603918230272,93.77119541313097,97.87297645108453,0.9357289311866064,0.9766599993008165,93.77119541313097,97.87297645108453,0.9357289311866064,0.9766599993008165,0.5700742879112846,0.5950107291508077,0,0,0,0,195,195,42.008991886179494,82.0703956245834,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08583552164462828,0.08061477209824505,164.48943129272254,164.48943129272254,,none,0,0,7884,876,1.0,0.7213663787266826,1.0,OK,DEMAND_UP,SCEN,2030,6237.200000000001,13.6049,14.0905,2.1494,1.6500000000000001,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475
ES,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:DEMAND_UP,6409045417df95b541cc1594c2adaa7eac3ebe10896d1f8593e3b5b1c1d3f818,331.3391,329.9845616,36.137043115351815,51.0458476562065,0.0,87.18289077155832,130.46665917155832,22.70664,6.671025300000001,0.6682388537052703,0.27698297285157797,0.39125588085369223,0.2642029383097004,107.32957859597659,106.3439477786375,107.87575618265495,100.31173346110411,104.95432195259197,0.9346140623425913,0.9778695055505076,100.31173346110411,104.95432195259197,0.9346140623425913,0.9778695055505076,0.5696061837867059,0.595968474839665,0,0,0,0,197,197,45.595846875534555,88.70395134534763,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07326076434136554,0.06881121919735289,176.10717073722418,176.10717073722418,,none,0,0,7905,879,1.0,0.7268893808842096,1.0,OK,DEMAND_UP,SCEN,2040,6237.200000000001,15.7817,15.5234,2.5076,1.6500000000000001,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475
DE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:FLEX_UP,03f6358ad20b0a5f40421def3bba794d385757efeb418d334d14d73d3a1a1322,525.9034,524.1057758522501,31.697453747499996,98.74950692264126,21.756967075256217,152.20392774539746,176.5478818501475,22.6446,4.8190211,0.8621113215880268,0.17954026644400387,0.6825710551440229,0.2904068887580912,126.87562866427379,134.8857858302721,122.4179505825562,122.45418727107236,121.6822557604586,0.9651513735163352,0.959067214417062,122.45418727107236,121.6822557604586,0.9651513735163352,0.959067214417062,0.597791412501787,0.5940230315393383,0,0,0,0,121,121,32.46244925212925,95.4033539304072,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05077107901863202,0.04320616380000305,204.84433986529757,204.84433986529757,,none,0,0,7884,876,1.0,0.6729174044621066,1.0,OK,FLEX_UP,SCEN,2030,9425.893,21.1595,38.4164,5.8601,2.4375,0.35,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
DE,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:FLEX_UP,5c538bf0b2662e4071ad6ea87a6fa3ee76b537b3467f56416646790ae069c283,617.3648,615.5633899977499,36.75064727891181,109.3064128317157,25.451076930673285,171.50813704130078,195.91705033430082,22.70664,4.8740938,0.8754120008883853,0.18758268979755854,0.687829311090827,0.2786197812087683,138.00269393782315,145.96435759007062,133.5908166273421,133.13539945763245,132.61294875607456,0.9647304386508305,0.9609446379055692,133.13539945763245,132.61294875607456,0.9647304386508305,0.9609446379055692,0.6000361592222314,0.5976814938693437,0,0,0,0,122,122,35.47685301428027,103.16471665160596,0.0,0.0,0.0,0.0,0.0,0.0,,,0.043313538462713214,0.036887573837168904,221.8789608116333,221.8789608116333,,none,0,0,7905,879,1.0,0.6808667111263013,1.0,OK,FLEX_UP,SCEN,2040,9425.893,24.5451,42.3232,6.8368,2.4375,0.35,0.8914973010374386,-26.5825,0.10500000000000001,-21.08173750012614
