country,tech,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,PV,BASE,slope,-0.1028429956205297,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,BASE,slope,-0.0185342836759086,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,BASE,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,BASE,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,PV,HIGH_CO2,slope,-0.1028429956205297,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_CO2,slope,-0.0185342836759086,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_CO2,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,HIGH_CO2,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,PV,HIGH_GAS,slope,-0.1028429956205297,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_GAS,slope,-0.0185342836759086,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_GAS,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,HIGH_GAS,slope,,,,,NON_TESTABLE,delta_non_interpretable_nan
