country,year,stage2_market_score,flag_h_negative_stage2,flag_h_below_5_stage2,flag_capture_stage2,flag_days_spread_stage2,flag_non_capture_stage2,flag_capture_only_stage2,signal_low_price,signal_value,signal_physical,is_stage1_criteria,is_phase2_market,is_phase2_physical,phase_market,stress_phys_state,quality_ok,flag_sr_stress,flag_far_tension,flag_ir_high
DE,2025,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2026,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2027,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2028,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2029,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2030,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2031,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2032,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2033,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2034,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2035,3,False,False,True,False,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2025,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2026,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2027,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2028,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2029,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2030,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2031,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2032,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2033,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2034,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2035,4,False,False,True,True,0,True,False,True,False,False,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
