country,tech,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,PV,BASE,slope,-0.0227295312330323,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,BASE,slope,0.0058187634834266,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,BASE,slope,-57.10624881834757,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,BASE,slope,-35.407485698391774,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,PV,HIGH_CO2,slope,-0.0227295312330323,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_CO2,slope,0.0058187634834266,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_CO2,slope,-57.10624881834757,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,HIGH_CO2,slope,-35.407485698391774,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,PV,HIGH_GAS,slope,-0.0227295312330323,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_GAS,slope,0.0058187634834266,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_GAS,slope,-57.10624881834757,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,WIND,HIGH_GAS,slope,-35.407485698391774,,,,NON_TESTABLE,delta_non_interpretable_nan
