country,tech,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,PV,BASE,slope,-0.0318441399516473,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,BASE,slope,-0.0023504301471102,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,BASE,slope,-0.0532886418490506,-0.0004468510257354,0.0528417908233151,,INFORMATIVE,delta_interpretable
ES,WIND,BASE,slope,-0.0099368792215686,0.0022609131848674,0.012197792406436,,INFORMATIVE,delta_interpretable
DE,PV,HIGH_CO2,slope,-0.0318441399516473,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_CO2,slope,-0.0023504301471102,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_CO2,slope,-0.0532886418490506,-0.0003081187700604,0.0529805230789901,,INFORMATIVE,delta_interpretable
ES,WIND,HIGH_CO2,slope,-0.0099368792215686,0.0023149607167648,0.0122518399383335,,INFORMATIVE,delta_interpretable
DE,PV,HIGH_GAS,slope,-0.0318441399516473,,,,NON_TESTABLE,delta_non_interpretable_nan
DE,WIND,HIGH_GAS,slope,-0.0023504301471102,,,,NON_TESTABLE,delta_non_interpretable_nan
ES,PV,HIGH_GAS,slope,-0.0532886418490506,-0.0002923716716396,0.0529962701774109,,INFORMATIVE,delta_interpretable
ES,WIND,HIGH_GAS,slope,-0.0099368792215686,0.0022431182743097,0.0121799974958784,,INFORMATIVE,delta_interpretable
